ALIGN,OPT,REPS,RMSD_0.75,TIME_PARTIAL,TIME_TOTAL
20,16,2,2.056864,1811.831,3998.831
20,16,3,2.025945,2308.134,4495.134
20,16,4,1.994747,2730.291,4917.291
20,16,5,2.007614,3183.33,5370.33
20,20,1,2.197002,1405.744,3592.744
20,20,2,1.989552,1960.347,4147.347
20,20,3,1.946875,2506.235,4693.235
20,20,4,1.946486,3007.462,5194.462
20,20,5,1.941625,3507.963,5694.963
20,24,1,2.141161,1457.035,3644.035
20,24,2,2.022421,2110.832,4297.832
20,24,3,1.939285,2693.798,4880.798
20,24,4,1.957608,3335.541,5522.541
20,24,5,1.944488,3823.634,6010.634
20,32,1,2.19563,1650.454,3837.454
20,32,2,2.031884,2419.481,4606.481
20,32,3,2.001142,3178.135,5365.135
20,32,4,2.041066,3902.462,6089.462
20,32,5,2.015085,4518.22,6705.22
20,48,1,2.188559,1994.869,4181.869
20,48,2,2.099034,3024.364,5211.364
20,48,3,2.015018,4046.48,6233.48
20,48,4,2.041066,4922.252,7109.252
20,48,5,2.041066,5892.493,8079.493
20,72,1,2.255412,2440.009,4627.009
20,72,2,2.085737,3915.536,6102.536
20,72,3,2.086024,5470.099,7657.099
20,72,4,2.062709,6628.261,8815.261
20,72,5,2.050101,7982.92,10169.92
24,8,1,2.318144,1192.288,3379.288
24,8,2,2.018391,1579.271,3766.271
24,8,3,2.018391,1927.889,4114.889
24,8,4,2.010095,2253.807,4440.807
24,8,5,1.978623,2585.641,4772.641
24,12,1,2.26036,1291.678,3478.678
24,12,2,2.026732,1732.932,3919.932
24,12,3,1.958265,2118.492,4305.492
24,12,4,1.933188,2518.017,4705.017
24,12,5,1.960251,2907.236,5094.236
24,16,1,2.249845,1360.27,3547.27
24,16,2,1.963169,1872.069,4059.069
24,16,3,1.915076,2353.03,4540.03
24,16,4,1.9051,2806.617,4993.617
24,16,5,1.901551,3250.397,5437.397
24,20,1,2.141197,1450.607,3637.607
24,20,2,1.996836,2035.78,4222.78
24,20,3,1.93536,2556.658,4743.658
24,20,4,1.92077,3074.528,5261.528
24,20,5,1.92077,3651.549,5838.549
24,24,1,2.183145,1536.548,3723.548
24,24,2,2.002859,2180.09,4367.09
24,24,3,1.932982,2816.545,5003.545
24,24,4,1.998671,3401.22,5588.22
24,24,5,2.001282,3989.232,6176.232
24,32,1,2.141296,1703.516,3890.516
24,32,2,2.055334,2488.331,4675.331
24,32,3,1.93123,3239.899,5426.899
24,32,4,1.976643,3963.823,6150.823
24,32,5,1.944341,4610.094,6797.094
24,48,1,2.142748,2023.032,4210.032
24,48,2,2.005249,3143.763,5330.763
24,48,3,1.98629,4083.568,6270.568
24,48,4,1.982423,5035.454,7222.454
24,48,5,1.967772,6089.71,8276.71
24,72,1,2.227099,2558.97,4745.97
24,72,2,2.005249,4021.344,6208.344
24,72,3,1.954455,5442.393,7629.393
24,72,4,1.942988,6812.871,8999.871
24,72,5,1.982645,8153.255,10340.255
32,8,1,2.21276,1385.836,3572.836
32,8,2,2.026411,1779.095,3966.095
32,8,3,1.995127,2098.991,4285.991
32,8,4,1.997952,2434.277,4621.277
32,8,5,2.008669,2796.021,4983.021
32,12,1,2.068251,1473.78,3660.78
32,12,2,2.014504,1908.426,4095.426
32,12,3,1.996257,2340.937,4527.937
32,12,4,1.963442,2710.507,4897.507
32,12,5,1.97008,3079.822,5266.822
32,16,1,2.124502,1564.788,3751.788
32,16,2,2.002331,2067.976,4254.976
32,16,3,1.99056,2513.698,4700.698
32,16,4,1.944166,2979.565,5166.565
32,16,5,1.967866,3433.928,5620.928
32,20,1,2.126494,1617.221,3804.221
32,20,2,2.021382,2234.369,4421.369
32,20,3,1.975867,2775.229,4962.229
32,20,4,1.983811,3248.413,5435.413
32,20,5,1.975867,3769.716,5956.716
32,24,1,2.145191,1731.887,3918.887
32,24,2,2.012215,2386.786,4573.786
32,24,3,1.994479,2943.564,5130.564
32,24,4,1.9042,3561.36,5748.36
32,24,5,1.927937,4172.462,6359.462
32,32,1,2.23901,1880.998,4067.998
32,32,2,2.014309,2670.278,4857.278
32,32,3,1.962945,3431.576,5618.576
32,32,4,1.978596,4084.086,6271.086
32,32,5,1.967866,4817.442,7004.442
32,48,1,2.118733,2234.389,4421.389
32,48,2,1.946535,3308.542,5495.542
32,48,3,1.939618,4318.077,6505.077
32,48,4,1.937008,5213.672,7400.672
32,48,5,1.93323,6172.554,8359.554
32,72,1,2.139799,2676.448,4863.448
32,72,2,1.959637,4195.817,6382.817
32,72,3,1.996318,5534.999,7721.999
32,72,4,1.986513,6975.645,9162.645
32,72,5,1.967866,8205.21,10392.21
48,8,1,2.244864,1876.418,4063.418
48,8,2,2.03053,2261.253,4448.253
48,8,3,2.015413,2606.061,4793.061
48,8,4,2.008027,2911.725,5098.725
48,8,5,2.008027,3275.44,5462.44
48,12,1,2.172407,1964.751,4151.751
48,12,2,1.870245,2434.333,4621.333
48,12,3,1.925104,2921.038,5108.038
48,12,4,1.88654,3246.21,5433.21
48,12,5,1.902954,3583.361,5770.361
48,16,1,2.233751,2068.84,4255.84
48,16,2,1.974825,2568.894,4755.894
48,16,3,1.974825,3032.502,5219.502
48,16,4,1.972101,3483.596,5670.596
48,16,5,1.940712,3990.053,6177.053
48,20,1,2.244199,2147.881,4334.881
48,20,2,2.052373,2711.716,4898.716
48,20,3,1.972695,3285.288,5472.288
48,20,4,1.972695,3821.804,6008.804
48,20,5,1.937049,4291.208,6478.208
48,24,1,2.178765,2209.958,4396.958
48,24,2,1.967771,2899.071,5086.071
48,24,3,1.974825,3427.148,5614.148
48,24,4,1.974825,4057.293,6244.293
48,24,5,1.973703,4632.661,6819.661
48,32,1,2.209579,2418.621,4605.621
48,32,2,1.974825,3151.945,5338.945
48,32,3,1.948707,3881.333,6068.333
48,32,4,1.937518,4599.43,6786.43
48,32,5,1.923184,5382.118,7569.118
48,48,1,2.132798,2749.096,4936.096
48,48,2,1.986521,3830.284,6017.284
48,48,3,1.974825,4761.857,6948.857
48,48,4,1.938314,5708.713,7895.713
48,48,5,1.974825,6645.853,8832.853
48,72,1,2.180824,3199.107,5386.107
48,72,2,1.974825,4747.387,6934.387
48,72,3,1.993668,6021.231,8208.231
48,72,4,1.960672,7409.658,9596.658
48,72,5,1.98858,8858.847,11045.847
72,8,1,2.30061,3054.005,5241.005
72,8,2,2.079451,3428.075,5615.075
72,8,3,2.045506,3738.169,5925.169
72,8,4,2.049421,4098.348,6285.348
72,8,5,2.029722,4430.121,6617.121
72,12,1,2.289453,3124.783,5311.783
72,12,2,1.98707,3585.449,5772.449
72,12,3,1.977557,3929.072,6116.072
72,12,4,1.936396,4323.23,6510.23
72,12,5,1.943723,4726.036,6913.036
72,16,1,2.225066,3218.702,5405.702
72,16,2,2.029202,3731.351,5918.351
72,16,3,1.99444,4170.286,6357.286
72,16,4,1.972623,4799.8,6986.8
72,16,5,1.972623,5124.468,7311.468
72,20,1,2.240267,3310.388,5497.388
72,20,2,1.973949,3871.703,6058.703
72,20,3,2.02459,4439.29,6626.29
72,20,4,2.075219,4886.73,7073.73
72,20,5,2.065241,5501.786,7688.786
72,24,1,2.207524,3366.382,5553.382
72,24,2,2.014819,4046.302,6233.302
72,24,3,1.99649,4600.607,6787.607
72,24,4,1.972349,5169.091,7356.091
72,24,5,2.005249,5787.398,7974.398
72,32,1,2.244166,3572.556,5759.556
72,32,2,2.005786,4358.972,6545.972
72,32,3,1.965974,5021.591,7208.591
72,32,4,1.960495,5806.938,7993.938
72,32,5,1.965434,6442.988,8629.988
72,48,1,2.262028,3874.551,6061.551
72,48,2,2.032542,4960.31,7147.31
72,48,3,1.982957,5872.099,8059.099
72,48,4,2.011615,6948.726,9135.726
72,48,5,2.016537,7740.601,9927.601
72,72,1,2.168871,4362.76,6549.76
72,72,2,2.028423,5811.647,7998.647
72,72,3,2.035109,7357.281,9544.281
72,72,4,2.035109,8554.069,10741.069
