"index","ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE"
154,72,8,1,192,256,50,4,10485760
155,8,72,1,32,256,10,1,5242880
156,8,8,5,32,256,50,4,2097152
157,8,72,5,256,256,10,4,2097152
158,72,72,1,256,256,50,1,2097152
159,8,8,1,32,1024,10,1,2097152
160,8,8,1,256,1024,10,1,5242880
161,8,72,1,96,256,50,1,2097152
162,8,72,1,160,256,10,1,20971520
163,8,8,5,192,256,256,1,52428800
164,72,8,1,96,256,256,4,52428800
165,8,72,5,224,256,256,4,20971520
166,72,8,1,256,256,256,1,20971520
167,72,72,1,128,256,256,1,20971520
168,72,72,5,256,256,10,1,52428800
169,72,8,1,128,256,10,4,52428800
170,8,72,1,128,256,50,4,52428800
171,8,8,1,160,256,256,4,10485760
172,72,72,1,256,256,256,1,20971520
173,8,72,1,32,256,256,1,5242880
174,8,72,1,96,256,256,1,5242880
175,8,72,5,192,1024,256,1,2097152
176,8,72,1,256,256,50,4,1048576
177,8,72,1,192,256,50,1,5242880
178,72,72,1,256,256,256,4,1048576
179,72,72,5,32,256,10,4,10485760
180,8,8,1,32,256,50,1,10485760
181,8,72,5,32,1024,256,4,52428800
182,72,8,1,160,1024,256,1,52428800
183,8,8,1,128,256,50,1,10485760
184,8,72,1,160,256,50,1,10485760
185,72,72,1,128,256,50,1,10485760
186,72,8,1,192,256,256,1,10485760
187,72,72,1,128,256,256,4,52428800
188,72,8,1,96,256,50,4,1048576
189,8,72,1,256,256,50,4,10485760
190,8,8,1,192,256,50,1,20971520
191,72,72,1,128,256,256,4,1048576
192,8,72,1,32,256,10,1,2097152
193,8,72,5,256,256,10,4,5242880
194,8,8,1,256,256,50,1,5242880
195,8,72,5,96,256,10,4,5242880
196,8,48,1,32,256,50,1,5242880
197,72,8,5,256,1024,50,4,20971520
198,72,72,5,32,1024,10,4,2097152
199,72,72,5,256,1024,10,4,5242880
200,72,72,1,256,1024,50,1,52428800
201,72,8,1,256,256,10,1,20971520
202,72,72,1,256,256,50,1,5242880
203,8,8,1,128,1024,256,1,20971520
204,72,72,1,128,1024,256,1,20971520
205,72,72,1,256,256,256,1,2097152
206,8,8,1,96,256,256,1,10485760
207,8,8,1,192,256,50,1,2097152
208,8,72,1,256,256,256,4,52428800
209,8,72,1,192,256,50,4,52428800
210,8,8,1,192,256,50,4,1048576
211,8,8,5,128,1024,256,4,5242880
212,72,72,5,32,1024,256,4,5242880
213,72,72,1,32,1024,50,4,10485760
214,72,8,5,96,256,256,1,1048576
215,8,8,1,32,1024,256,4,2097152
216,72,72,5,256,1024,256,1,10485760
217,8,8,1,160,1024,256,4,10485760
218,72,8,1,192,256,50,1,2097152
219,8,72,5,128,256,256,1,52428800
220,72,8,1,128,256,50,1,10485760
221,72,72,1,160,256,10,4,1048576
222,8,72,1,192,256,50,1,2097152
223,72,72,1,160,256,50,1,20971520
224,8,72,1,128,256,256,1,2097152
225,72,8,1,96,1024,256,4,10485760
226,72,8,1,32,256,256,1,5242880
227,8,72,5,128,256,256,4,20971520
228,72,72,5,160,256,256,4,2097152
229,8,8,5,192,256,10,1,52428800
230,8,8,1,128,256,10,1,10485760
231,8,8,1,32,256,50,1,20971520
232,8,48,1,96,256,50,4,1048576
233,8,8,1,32,256,256,1,5242880
234,8,8,1,32,256,50,4,52428800
235,8,8,1,192,256,256,1,1048576
236,8,72,1,64,256,256,4,10485760
237,8,48,5,160,256,50,4,20971520
238,48,8,1,96,256,50,1,20971520
239,8,8,1,96,256,10,1,20971520
240,8,8,1,224,256,10,1,20971520
241,72,72,1,96,256,50,1,20971520
242,72,8,1,96,256,256,1,2097152
243,8,72,1,32,256,50,1,2097152
244,8,8,1,32,256,10,1,10485760
245,72,8,1,192,256,256,1,5242880
246,8,72,1,96,1024,256,4,10485760
247,8,8,1,96,256,10,4,1048576
248,8,72,1,32,256,50,1,5242880
249,8,8,1,64,256,50,1,5242880
250,8,8,5,64,256,256,1,52428800
251,8,72,5,32,256,256,1,52428800
252,8,48,5,224,256,50,4,10485760
253,72,8,1,96,256,50,1,5242880
254,48,8,1,32,256,50,1,5242880
255,72,72,1,192,256,50,1,2097152
256,48,8,1,128,256,256,1,20971520
257,12,8,1,192,256,256,1,20971520
258,72,8,1,32,256,256,4,52428800
259,8,48,1,96,256,50,1,10485760
260,8,72,1,32,256,256,1,20971520
261,48,72,1,128,256,10,1,20971520
262,8,72,5,32,256,256,1,1048576
263,72,72,1,96,256,256,1,10485760
264,48,72,1,128,256,50,1,5242880
265,72,8,1,192,256,50,1,5242880
266,8,48,1,224,256,50,4,1048576
267,8,48,5,64,256,50,1,52428800
268,72,72,1,32,256,10,4,1048576
269,72,8,1,256,256,50,1,10485760
270,8,72,5,96,1024,256,4,20971520
271,8,8,1,192,1024,256,1,20971520
272,8,72,1,256,1024,256,1,20971520
273,72,8,1,32,1024,256,4,1048576
274,72,8,1,256,256,256,4,52428800
275,8,72,1,128,256,10,1,10485760
276,32,48,1,224,256,50,1,2097152
277,72,8,5,256,1024,256,1,2097152
278,72,72,1,32,1024,256,4,10485760
279,8,72,1,256,256,50,1,20971520
280,32,48,1,128,256,50,1,10485760
281,48,8,1,160,256,50,4,1048576
282,32,32,1,64,256,256,4,1048576
283,8,8,5,224,256,256,4,5242880
284,72,8,5,192,256,256,1,1048576
285,8,32,1,224,256,256,4,10485760
286,8,8,1,32,256,50,1,5242880
287,8,8,1,64,256,50,1,20971520
288,32,8,1,64,256,50,4,1048576
289,8,48,5,64,256,50,4,2097152
290,8,8,1,128,256,50,1,2097152
291,72,72,1,32,256,256,1,2097152
292,72,72,1,192,256,256,1,20971520
293,8,72,1,32,256,10,4,52428800
294,8,72,1,160,256,50,1,5242880
295,72,8,1,160,256,10,1,5242880
296,32,32,1,224,256,50,1,5242880
297,72,8,1,256,256,50,1,5242880
298,8,8,1,256,1024,256,1,5242880
299,8,8,1,64,256,256,1,20971520
300,8,48,1,224,256,256,4,52428800
301,8,72,1,192,256,10,4,1048576
302,48,32,1,64,256,50,1,10485760
303,8,72,5,128,256,50,4,10485760
304,8,72,1,192,256,10,1,10485760
305,8,48,1,160,256,10,1,10485760
306,48,72,1,192,256,50,1,10485760
307,72,72,1,128,256,256,1,5242880
308,32,8,1,224,256,256,1,2097152
309,8,8,1,32,1024,256,1,20971520
310,72,72,1,192,256,50,4,1048576
311,8,8,1,96,256,10,1,2097152
312,8,48,5,96,256,256,4,2097152
313,8,8,5,128,256,256,4,5242880
314,48,72,1,224,256,10,1,20971520
315,8,12,1,96,256,50,1,10485760
316,48,8,1,192,256,50,4,52428800
317,8,8,1,256,256,10,1,10485760
318,32,32,1,160,256,256,1,20971520
319,72,8,1,32,256,50,4,1048576
320,32,8,1,160,256,50,1,10485760
321,8,8,1,224,256,50,1,5242880
322,8,32,1,160,256,30,4,1048576
323,8,72,1,96,256,10,1,2097152
324,8,32,1,224,256,50,4,52428800
325,8,72,1,32,256,256,1,10485760
326,8,8,1,160,256,10,1,20971520
327,8,72,1,128,256,50,1,2097152
328,32,8,1,128,256,50,4,52428800
329,8,48,5,64,256,256,4,5242880
330,8,72,1,160,256,256,1,5242880
331,72,72,1,192,256,256,1,5242880
332,32,8,1,224,256,256,1,20971520
