"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","WORKER_PARS","WORKER_BUCK","WORKER_DS","TIME_TOTAL","THROUG","AVG_RMSD","RMSD_0.75","-RMSD^3*TIME"
8,8,5,256,1024,256,1,10485760,20,4,6,647.997,693.83,1.67,2.14440725,-6389.91080219208
8,8,1,256,256,256,1,5242880,20,4,6,151.936,2959.14,1.58,2.24434975,-1717.64060410264
72,8,1,256,256,10,1,2097152,20,4,6,199.167,2257.4,2.44,3.29712625,-7138.78188192632
72,72,5,32,256,50,4,2097152,20,4,6,631.347,712.12,1.71,2.2812245,-7495.00976019169
8,8,1,128,256,256,4,52428800,20,4,6,146.038,3078.65,1.58,2.24434975,-1650.96355400919
72,8,5,256,1024,256,4,20971520,20,4,6,1194.167,376.49,1.72,2.174062,-12271.0250039935
8,72,1,32,1024,256,1,20971520,20,4,6,581.049,773.77,1.56,2.049649,-5003.23892943376
72,72,5,32,1024,256,1,2097152,20,4,6,2530.172,177.69,1.5,1.82777975,-15449.756169721
8,8,5,32,1024,10,1,10485760,20,4,6,513.616,875.36,2.1,2.80819925,-11374.2377366218
72,8,1,96,256,256,4,10485760,20,4,6,293.776,1530.42,1.6,2.15311,-2932.34433936063
8,8,5,256,1024,10,4,52428800,20,4,6,507.462,885.97,2.26,2.835143,-11564.541885583
8,8,1,256,1024,256,1,2097152,20,4,6,310.087,1449.91,1.76,2.39431625,-4256.25949936865
72,72,1,32,256,50,1,10485760,20,4,6,281.536,1596.95,1.69,2.12309525,-2694.27779580829
8,72,1,256,1024,10,1,20971520,20,4,6,482.926,930.99,1.92,2.48814375,-7438.87037083398
72,72,1,32,256,256,4,10485760,20,4,6,362.452,1240.44,1.57,2.07924225,-3258.1102393404
72,72,1,256,256,256,1,5242880,20,4,6,381.406,1178.79,1.57,2.07924225,-3428.489272913
8,8,1,32,256,256,4,52428800,20,4,6,138.838,3238.31,1.58,2.24434975,-1569.56735857467
8,8,1,256,256,256,1,20971520,20,4,6,151.222,2973.11,1.58,2.24434975,-1709.56881472205
8,8,1,32,256,50,4,1048576,20,4,6,80.612,5577.34,1.99,2.4906585,-1245.49574928814
8,8,1,32,256,256,4,1048576,20,4,6,137.924,3259.77,1.58,2.24434975,-1559.23456376535
8,8,1,160,256,50,4,52428800,20,4,6,84.644,5311.67,1.99,2.4906585,-1307.7921674533
8,72,1,256,256,50,1,5242880,20,4,6,160.629,2799,1.67,2.1650705,-1630.19697713402
72,8,5,256,1024,256,4,1048576,20,4,6,1208.691,371.97,1.72,2.174062,-12420.2707687467
72,8,5,32,256,50,4,10485760,20,4,6,301.305,1492.17,1.98,2.3136715,-3731.74044453507
8,8,1,128,256,256,1,20971520,20,4,6,144.8,3104.97,1.58,2.24434975,-1636.96793040531
8,72,1,256,256,50,4,52428800,20,4,6,160.747,2796.94,1.69,2.31768875,-2001.2816562368
72,8,1,256,256,50,4,52428800,20,4,6,220.892,2035.38,1.96,2.3712465,-2945.16815533649
8,72,5,256,256,256,4,5242880,20,4,6,607.947,739.53,1.49,1.96179825,-4590.16976607307
72,72,1,256,256,50,1,20971520,20,4,6,300.443,1496.46,1.69,2.12309525,-2875.21632688547
72,8,1,32,256,50,1,20971520,20,4,6,211.068,2130.12,1.94,2.31255925,-2610.36357539188
72,8,1,128,256,256,1,5242880,20,4,6,287.366,1564.55,1.6,2.15311,-2868.36250553043
8,72,1,32,256,50,4,1048576,20,4,6,148.424,3029.16,1.69,2.31768875,-1847.86172398421
8,72,1,160,256,10,1,5242880,20,4,6,128.659,3494.51,1.97,2.50946075,-2033.2060512809
8,72,5,32,256,256,4,2097152,20,4,6,588.647,763.78,1.49,1.96179825,-4444.4493718854
8,8,5,256,256,256,1,10485760,20,4,6,248.552,1808.88,1.54,2.011685,-2023.4719805797
8,72,1,32,256,50,4,52428800,20,4,6,146.934,3059.88,1.69,2.31768875,-1829.31139540705
72,8,1,32,256,50,4,52428800,20,4,6,210.069,2140.25,1.96,2.3712465,-2800.86435553746
8,72,5,256,1024,256,4,52428800,20,4,6,2033.074,221.14,1.52,1.9530985,-15146.9651377105
72,8,1,32,1024,256,1,52428800,20,4,6,837.201,537.02,1.75,2.15510575,-8379.8355389614
72,72,1,160,1024,256,4,10485760,20,4,6,1150.83,390.67,1.6,2.07916875,-10343.8065994887
72,72,1,32,256,10,1,20971520,20,4,6,257.915,1743.21,1.92,2.641741,-4754.96484544783
8,8,5,32,256,256,4,20971520,20,4,6,243.931,1843.14,1.54,2.011685,-1985.85223090052
8,72,1,192,256,256,4,52428800,20,4,6,240.258,1871.32,1.52,1.96555925,-1824.46811047602
72,8,1,160,256,256,1,2097152,20,4,6,282.652,1590.65,1.6,2.15311,-2821.30940651708
8,72,5,32,256,50,4,10485760,20,4,6,498.873,901.23,1.67,2.1420505,-4903.19443831956
72,8,5,256,256,256,4,5242880,20,4,6,381.708,1177.86,1.57,1.9799195,-2962.60574802633
8,8,1,96,256,50,1,2097152,20,4,6,82.863,5425.83,1.98,2.4906585,-1280.27482599691
8,72,1,64,256,256,4,52428800,20,4,6,270.138,1664.33,1.52,1.96555925,-2051.37047019359
8,8,1,256,256,256,4,1048576,20,4,6,152.17,2954.59,1.58,2.24434975,-1720.28598045426
72,8,1,96,256,10,1,2097152,20,4,6,199.21,2256.91,2.44,3.29712625,-7140.32313936818
8,8,5,256,256,50,4,2097152,20,4,6,168.837,2662.92,1.87,2.4576415,-2506.24326337403
8,72,1,256,256,256,4,10485760,20,4,6,242.551,1853.63,1.52,1.96555925,-1841.88066438607
72,72,1,256,256,50,4,1048576,20,4,6,298.285,1507.28,1.74,2.2805385,-3537.88440997242
72,72,5,256,1024,10,1,1048576,20,4,6,2400.101,187.32,1.85,2.44870025,-35240.0401553142
8,8,1,256,256,50,1,20971520,20,4,6,85.396,5264.89,1.98,2.4906585,-1319.41094385712
8,72,1,256,256,50,1,2097152,20,4,6,158.482,2836.92,1.67,2.1650705,-1608.40743159799
72,72,1,32,256,10,4,52428800,20,4,6,258.977,1736.06,1.93,2.68203125,-4996.34819863178
72,8,5,32,1024,256,4,20971520,20,4,6,1182.216,380.3,1.72,2.174062,-12148.2188807103
8,8,1,128,256,50,1,20971520,20,4,6,83.438,5388.44,1.98,2.4906585,-1289.15886380568
8,72,1,96,1024,256,1,5242880,20,4,6,625.579,718.69,1.56,2.049649,-5386.67342381837
72,8,1,96,1024,256,1,5242880,20,4,6,876.967,512.67,1.75,2.15510575,-8777.8672422708
72,72,1,32,256,256,4,1048576,20,4,6,362.153,1241.46,1.57,2.07924225,-3255.42250424289
72,72,5,32,256,256,4,20971520,20,4,6,722.827,622,1.53,1.9820815,-5628.58061412965
72,8,5,32,256,256,1,10485760,20,4,6,373.637,1203.3,1.57,1.9799195,-2899.9631233176
8,8,5,256,256,50,1,52428800,20,4,6,169.029,2659.9,1.84,2.37724825,-2270.83108840894
72,72,1,192,256,50,1,5242880,20,4,6,293.13,1533.79,1.69,2.12309525,-2805.23148117926
72,8,1,192,256,256,4,52428800,20,4,6,291.629,1541.68,1.6,2.15311,-2910.91391857538
72,8,1,192,1024,256,4,2097152,20,4,6,858.639,523.62,1.77,2.19253775,-9050.06814275505
8,8,1,96,256,50,4,52428800,20,4,6,85.665,5248.36,1.99,2.4906585,-1323.56712850157
8,8,1,256,256,256,1,2097152,20,4,6,153.734,2924.53,1.58,2.24434975,-1737.96704290698
8,72,1,256,256,10,1,20971520,20,4,6,137.907,3260.17,1.97,2.50946075,-2179.35276128366
8,72,1,128,256,10,4,52428800,20,4,6,128.094,3509.93,2.04,2.70508175,-2535.53710762558
8,8,1,96,256,256,4,1048576,20,4,6,150.296,2991.43,1.58,2.24434975,-1699.100359587
8,8,1,160,256,256,1,5242880,20,4,6,144.677,3107.61,1.58,2.24434975,-1635.57741206664
72,8,1,256,256,10,4,1048576,20,4,6,200.677,2240.42,2.48,3.25655075,-6930.60506700523
72,72,1,96,256,50,4,1048576,20,4,6,296.065,1518.58,1.74,2.2805385,-3511.55354053501
8,8,1,32,256,10,4,1048576,20,4,6,78.378,5736.31,2.33,3.24027675,-2666.49326485922
8,72,1,96,256,50,1,5242880,20,4,6,156.77,2867.9,1.67,2.1650705,-1591.0326286368
72,72,5,256,256,256,1,10485760,20,4,6,740.773,606.93,1.53,1.9820815,-5768.32429788962
8,8,1,256,256,50,4,10485760,20,4,6,87.49,5138.88,1.99,2.4906585,-1351.76429198158
8,8,1,192,256,50,1,10485760,20,4,6,86.195,5216.09,1.98,2.4906585,-1331.75589378618
8,8,1,224,256,10,4,10485760,20,4,6,77.753,5782.42,2.33,3.24027675,-2645.23017712366
72,8,1,192,256,50,4,10485760,20,4,6,218.528,2057.4,1.96,2.3712465,-2913.6487815284
8,72,1,32,256,10,1,5242880,20,4,6,126.594,3551.51,1.97,2.50946075,-2000.57272989728
8,8,5,32,256,50,4,2097152,20,4,6,164.681,2730.13,1.87,2.4576415,-2444.55093880902
8,72,5,256,256,10,4,2097152,20,4,6,476.683,943.18,1.9,2.48394025,-7305.55304638481
72,72,1,256,256,50,1,2097152,20,4,6,298.385,1506.78,1.69,2.12309525,-2855.52142568714
8,8,1,32,1024,10,1,2097152,20,4,6,166.796,2695.51,2.27,3.248622,-5718.51381525604
8,8,1,256,1024,10,1,5242880,20,4,6,178.346,2520.94,2.27,3.248622,-6114.49953773265
8,72,1,96,256,50,1,2097152,20,4,6,156.079,2880.59,1.67,2.1650705,-1584.01978468459
8,72,1,160,256,10,1,20971520,20,4,6,126.26,3560.91,1.97,2.50946075,-1995.29450745557
8,8,5,192,256,256,1,52428800,20,4,6,285.165,1576.63,1.54,2.011685,-2321.53990851817
72,8,1,96,256,256,4,52428800,20,4,6,294.581,1526.23,1.6,2.15311,-2940.37949945943
8,72,5,224,256,256,4,20971520,20,4,6,653.781,687.69,1.49,1.96179825,-4936.22927629056
72,8,1,256,256,256,1,20971520,20,4,6,295.038,1523.87,1.6,2.15311,-2944.94107481987
72,72,1,128,256,256,1,20971520,20,4,6,370.707,1212.82,1.57,2.07924225,-3332.31509964122
72,72,5,256,256,10,1,52428800,20,4,6,618.408,727.02,1.91,2.514532,-9832.10707858766
72,8,1,128,256,10,4,52428800,20,4,6,192.808,2331.85,2.48,3.25655075,-6658.84033426423
8,72,1,128,256,50,4,52428800,20,4,6,148.975,3017.96,1.69,2.31768875,-1854.72161059228
8,8,1,160,256,256,4,10485760,20,4,6,144.895,3102.94,1.58,2.24434975,-1638.04190798396
72,72,1,256,256,256,1,20971520,20,4,6,385.873,1165.15,1.57,2.07924225,-3468.64349592497
8,72,1,32,256,256,1,5242880,20,4,6,224.04,2006.78,1.52,1.96555925,-1701.31207065341
8,72,1,96,256,256,1,5242880,20,4,6,241.564,1861.2,1.52,1.96555925,-1834.38559647974
8,72,5,192,1024,256,1,2097152,20,4,6,2351.461,191.2,1.47,1.90345375,-16216.7852877656
8,72,1,256,256,50,4,1048576,20,4,6,159.486,2819.06,1.69,2.31768875,-1985.58235131344
8,72,1,192,256,50,1,5242880,20,4,6,155.355,2894.02,1.67,2.1650705,-1576.6720292267
72,72,1,256,256,256,4,1048576,20,4,6,381.974,1177.04,1.57,2.07924225,-3433.59507069021
72,72,5,32,256,10,4,10485760,20,4,6,601.339,747.66,1.96,2.6256,-10884.4142482572
8,8,1,32,256,50,1,10485760,20,4,6,85.553,5255.23,1.98,2.4906585,-1321.83667244143
8,72,5,32,1024,256,4,52428800,20,4,6,1973.251,227.84,1.52,1.9530985,-14701.267196842
72,8,1,160,1024,256,1,52428800,20,4,6,839.134,535.79,1.75,2.15510575,-8399.18360722315
8,8,1,128,256,50,1,10485760,20,4,6,84.226,5338.03,1.98,2.4906585,-1301.33385822884
8,72,1,160,256,50,1,10485760,20,4,6,149.951,2998.31,1.67,2.1650705,-1521.82773296368
72,72,1,128,256,50,1,10485760,20,4,6,283.116,1588.04,1.69,2.12309525,-2709.39827389058
72,8,1,192,256,256,1,10485760,20,4,6,289.953,1550.59,1.6,2.15311,-2894.18481506533
72,72,1,128,256,256,4,52428800,20,4,6,371.309,1210.85,1.57,2.07924225,-3337.72652615862
72,8,1,96,256,50,4,1048576,20,4,6,221.527,2029.55,1.96,2.3712465,-2953.63465380017
8,72,1,256,256,50,4,10485760,20,4,6,159.576,2817.47,1.69,2.31768875,-1986.70284095904
8,8,1,192,256,50,1,20971520,20,4,6,86.159,5218.27,1.98,2.4906585,-1331.19967576684
72,72,1,128,256,256,4,1048576,20,4,6,371.523,1210.15,1.57,2.07924225,-3339.65018940566
8,72,1,32,256,10,1,2097152,20,4,6,126.67,3549.38,1.97,2.50946075,-2001.77376254868
8,72,5,256,256,10,4,5242880,20,4,6,478.908,938.8,1.9,2.48394025,-7339.65297343949
8,8,1,256,256,50,1,5242880,20,4,6,88.073,5104.86,1.98,2.4906585,-1360.77193379465
8,72,5,96,256,10,4,5242880,20,4,6,501.096,897.23,1.9,2.48394025,-7679.70204377173
8,48,1,32,256,50,1,5242880,20,4,6,122.91,3657.96,1.68,2.11714775,-1166.38176301288
72,8,5,256,1024,50,4,20971520,20,4,6,1079.78,416.38,1.91,2.51943225,-17268.0513646346
72,72,5,32,1024,10,4,2097152,20,4,6,2370.705,189.64,1.93,2.50902925,-37445.0736022436
72,72,5,256,1024,10,4,5242880,20,4,6,2402.012,187.17,1.93,2.50902925,-37939.5648692994
72,72,1,256,1024,50,1,52428800,20,4,6,1052.838,427.03,1.69,2.24937925,-11982.5598036098
72,8,1,256,256,10,1,20971520,20,4,6,200.059,2247.34,2.44,3.29712625,-7170.75401304582
72,72,1,256,256,50,1,5242880,20,4,6,296.929,1514.17,1.69,2.12309525,-2841.58761803662
8,8,1,128,1024,256,1,20971520,20,4,6,295.828,1519.8,1.76,2.39431625,-4060.54021993579
72,72,1,128,1024,256,1,20971520,20,4,6,1134.982,396.13,1.59,2.07916875,-10201.3627572282
72,72,1,256,256,256,1,2097152,20,4,6,382.039,1176.84,1.57,2.07924225,-3434.1793609288
8,8,1,96,256,256,1,10485760,20,4,6,149.494,3007.48,1.58,2.24434975,-1690.03372781776
8,8,1,192,256,50,1,2097152,20,4,6,84.654,5311.04,1.98,2.4906585,-1307.94667245867
8,72,1,256,256,256,4,52428800,20,4,6,243.414,1847.06,1.52,1.96555925,-1848.43410268715
8,72,1,192,256,50,4,52428800,20,4,6,156.67,2869.73,1.69,2.31768875,-1950.5234752911
8,8,1,192,256,50,4,1048576,20,4,6,84.109,5345.45,1.99,2.4906585,-1299.52614966601
8,8,5,128,1024,256,4,5242880,20,4,6,660.377,680.82,1.69,2.14440725,-6511.9902188115
72,72,5,32,1024,256,4,5242880,20,4,6,2528.203,177.83,1.53,1.95177125,-18797.4393273185
72,72,1,32,1024,50,4,10485760,20,4,6,1004.964,447.38,1.75,2.28313275,-11960.3529513534
72,8,5,96,256,256,1,1048576,20,4,6,397.761,1130.32,1.57,1.9799195,-3087.20022881549
8,8,1,32,1024,256,4,2097152,20,4,6,283.322,1586.89,1.77,2.39431625,-3888.88264867642
72,72,5,256,1024,256,1,10485760,20,4,6,2597.102,173.11,1.5,1.82777975,-15858.4446622185
8,8,1,160,1024,256,4,10485760,20,4,6,293.905,1529.74,1.77,2.39431625,-4034.14508883617
72,8,1,192,256,50,1,2097152,20,4,6,219.859,2044.95,1.94,2.31255925,-2719.08543844678
8,72,5,128,256,256,1,52428800,20,4,6,596.344,753.92,1.49,1.96179825,-4502.56387313216
72,8,1,128,256,50,1,10485760,20,4,6,213.653,2104.35,1.94,2.31255925,-2642.33331899294
72,72,1,160,256,10,4,1048576,20,4,6,260.537,1725.67,1.93,2.68203125,-5026.44470600451
8,72,1,192,256,50,1,2097152,20,4,6,154.259,2914.58,1.67,2.1650705,-1565.54890770481
72,72,1,160,256,50,1,20971520,20,4,6,283.757,1584.45,1.69,2.12309525,-2715.53259442903
8,72,1,128,256,256,1,2097152,20,4,6,229.039,1962.98,1.52,1.96555925,-1739.27341256199
72,8,1,96,1024,256,4,10485760,20,4,6,873.019,514.99,1.77,2.19253775,-9201.63356185763
72,8,1,32,256,256,1,5242880,20,4,6,277.244,1621.67,1.6,2.15311,-2767.32910115768
8,72,5,128,256,256,4,20971520,20,4,6,600.463,748.75,1.49,1.96179825,-4533.66347435802
72,72,5,160,256,256,4,2097152,20,4,6,773.837,581,1.53,1.9820815,-6025.79031593486
8,8,5,192,256,10,1,52428800,20,4,6,167.745,2680.26,2.21,2.9636525,-4366.47947020056
8,8,1,128,256,10,1,10485760,20,4,6,74.536,6031.99,2.31,3.2368365,-2527.71654289275
8,8,1,32,256,50,1,20971520,20,4,6,80.016,5618.88,1.98,2.4906585,-1236.28725096809
8,48,1,96,256,50,4,1048576,20,4,6,130.617,3442.13,1.71,2.215611,-1420.6275828355
8,8,1,32,256,256,1,5242880,20,4,6,136.675,3289.56,1.58,2.24434975,-1545.11458486289
8,8,1,32,256,50,4,52428800,20,4,6,85.576,5253.82,1.99,2.4906585,-1322.19203395378
8,8,1,192,256,256,1,1048576,20,4,6,150.537,2986.64,1.58,2.24434975,-1701.82487112862
8,72,1,64,256,256,4,10485760,20,4,6,269.27,1669.7,1.52,1.96555925,-2044.77906295681
8,48,5,160,256,50,4,20971520,20,4,6,394.847,1138.67,1.63,2.14130375,-3876.71322087263
48,8,1,96,256,50,1,20971520,20,4,6,139.889,3213.98,2.06,2.638675,-2570.04822594595
8,8,1,96,256,10,1,20971520,20,4,6,76.968,5841.4,2.31,3.2368365,-2610.19221414308
8,8,1,224,256,10,1,20971520,20,4,6,72.278,6220.44,2.31,3.2368365,-2451.14168035851
72,72,1,96,256,50,1,20971520,20,4,6,294.102,1528.72,1.69,2.12309525,-2814.53344617672
72,8,1,96,256,256,1,2097152,20,4,6,292.491,1537.14,1.6,2.15311,-2919.51802789857
8,72,1,32,256,50,1,2097152,20,4,6,147.83,3041.33,1.67,2.1650705,-1500.30205709879
8,8,1,32,256,10,1,10485760,20,4,6,79.194,5677.21,2.31,3.2368365,-2685.68187047666
72,8,1,192,256,256,1,5242880,20,4,6,290.364,1548.4,1.6,2.15311,-2898.28723842012
8,72,1,96,1024,256,4,10485760,20,4,6,619.714,725.49,1.59,2.049649,-5336.17166523841
8,8,1,96,256,10,4,1048576,20,4,6,74.454,6038.64,2.33,3.24027675,-2532.99509482033
8,72,1,32,256,50,1,5242880,20,4,6,146.496,3069.03,1.67,2.1650705,-1486.76351320263
8,8,1,64,256,50,1,5242880,20,4,6,93.491,4809.02,1.98,2.4906585,-1444.48274570408
8,8,5,64,256,256,1,52428800,20,4,6,249.037,1805.35,1.54,2.011685,-2027.42038538264
8,72,5,32,256,256,1,52428800,20,4,6,595.393,755.13,1.49,1.96179825,-4495.38355733566
8,48,5,224,256,50,4,10485760,20,4,6,416.019,1080.72,1.63,2.14130375,-4084.58556715439
72,8,1,96,256,50,1,5242880,20,4,6,220.618,2037.91,1.94,2.31255925,-2728.4722993339
48,8,1,32,256,50,1,5242880,20,4,6,132.409,3395.54,2.06,2.638675,-2432.62526395411
72,72,1,192,256,50,1,2097152,20,4,6,293.475,1531.99,1.69,2.12309525,-2808.53310455798
48,8,1,128,256,256,1,20971520,20,4,6,204.239,2201.34,1.73,2.251652,-2331.53792812499
12,8,1,192,256,256,1,20971520,20,4,6,151.421,2969.21,1.61,2.03661625,-1279.1271700609
72,8,1,32,256,256,4,52428800,20,4,6,276.789,1624.34,1.6,2.15311,-2762.78748892792
8,48,1,96,256,50,1,10485760,20,4,6,130.111,3455.51,1.68,2.11714775,-1234.71725300927
8,72,1,32,256,256,1,20971520,20,4,6,223.374,2012.77,1.52,1.96555925,-1696.25460841874
48,72,1,128,256,10,1,20971520,20,4,6,181.99,2470.47,2.14,2.76661225,-3853.82874490561
