"index","confidence","hypo_step","max_arm_length","num_threads"
278,14,1,9,22
279,14,1,9,23
280,14,1,9,24
281,14,1,9,25
282,14,1,9,26
283,14,1,9,27
284,14,1,9,28
285,14,1,9,29
286,14,1,9,30
287,14,1,9,31
288,14,1,9,32
289,14,1,10,1
290,14,1,10,2
291,14,1,10,3
292,14,1,10,4
293,14,1,10,5
294,14,1,10,6
295,14,1,10,7
296,14,1,10,8
297,14,1,10,9
298,14,1,10,10
299,14,1,10,11
300,14,1,10,12
301,14,1,10,13
302,14,1,10,14
303,14,1,10,15
304,14,1,10,16
305,14,1,10,17
306,14,1,10,18
307,14,1,10,19
308,14,1,10,20
309,14,1,10,21
310,14,1,10,22
311,14,1,10,23
312,14,1,10,24
313,14,1,10,25
314,14,1,10,26
315,14,1,10,27
316,14,1,10,28
317,14,1,10,29
318,14,1,10,30
319,14,1,10,31
320,14,1,10,32
321,14,1,11,1
322,14,1,11,2
323,14,1,11,3
324,14,1,11,4
325,14,1,11,5
326,14,1,11,6
327,14,1,11,7
328,14,1,11,8
329,14,1,11,9
330,14,1,11,10
331,14,1,11,11
332,14,1,11,12
333,14,1,11,13
334,14,1,11,14
335,14,1,11,15
336,14,1,11,16
337,14,1,11,17
338,14,1,11,18
339,14,1,11,19
340,14,1,11,20
341,14,1,11,21
342,14,1,11,22
343,14,1,11,23
344,14,1,11,24
345,14,1,11,25
346,14,1,11,26
347,14,1,11,27
348,14,1,11,28
349,14,1,11,29
350,14,1,11,30
351,14,1,11,31
352,14,1,11,32
353,14,1,12,1
354,14,1,12,2
355,14,1,12,3
356,14,1,12,4
357,14,1,12,5
358,14,1,12,6
359,14,1,12,7
360,14,1,12,8
361,14,1,12,9
362,14,1,12,10
363,14,1,12,11
364,14,1,12,12
365,14,1,12,13
366,14,1,12,14
367,14,1,12,15
368,14,1,12,16
369,14,1,12,17
370,14,1,12,18
371,14,1,12,19
372,14,1,12,20
373,14,1,12,21
374,14,1,12,22
375,14,1,12,23
376,14,1,12,24
377,14,1,12,25
378,14,1,12,26
379,14,1,12,27
380,14,1,12,28
381,14,1,12,29
382,14,1,12,30
383,14,1,12,31
384,14,1,12,32
385,14,1,13,1
386,14,1,13,2
387,14,1,13,3
388,14,1,13,4
389,14,1,13,5
390,14,1,13,6
391,14,1,13,7
392,14,1,13,8
393,14,1,13,9
394,14,1,13,10
395,14,1,13,11
396,14,1,13,12
397,14,1,13,13
398,14,1,13,14
399,14,1,13,15
400,14,1,13,16
401,14,1,13,17
402,14,1,13,18
403,14,1,13,19
404,14,1,13,20
405,14,1,13,21
406,14,1,13,22
407,14,1,13,23
408,14,1,13,24
409,14,1,13,25
410,14,1,13,26
411,14,1,13,27
412,14,1,13,28
413,14,1,13,29
414,14,1,13,30
415,14,1,13,31
416,14,1,13,32
417,14,1,14,1
418,14,1,14,2
419,14,1,14,3
420,14,1,14,4
421,14,1,14,5
422,14,1,14,6
423,14,1,14,7
424,14,1,14,8
425,14,1,14,9
426,14,1,14,10
427,14,1,14,11
428,14,1,14,12
429,14,1,14,13
430,14,1,14,14
431,14,1,14,15
432,14,1,14,16
433,14,1,14,17
434,14,1,14,18
435,14,1,14,19
436,14,1,14,20
437,14,1,14,21
438,14,1,14,22
439,14,1,14,23
440,14,1,14,24
441,14,1,14,25
442,14,1,14,26
443,14,1,14,27
444,14,1,14,28
445,14,1,14,29
446,14,1,14,30
447,14,1,14,31
448,14,1,14,32
449,14,1,15,1
450,14,1,15,2
451,14,1,15,3
452,14,1,15,4
453,14,1,15,5
454,14,1,15,6
455,14,1,15,7
456,14,1,15,8
457,14,1,15,9
458,14,1,15,10
459,14,1,15,11
460,14,1,15,12
461,14,1,15,13
462,14,1,15,14
463,14,1,15,15
464,14,1,15,16
465,14,1,15,17
466,14,1,15,18
467,14,1,15,19
468,14,1,15,20
469,14,1,15,21
470,14,1,15,22
471,14,1,15,23
472,14,1,15,24
473,14,1,15,25
474,14,1,15,26
475,14,1,15,27
476,14,1,15,28
477,14,1,15,29
478,14,1,15,30
479,14,1,15,31
480,14,1,15,32
481,14,1,16,1
482,14,1,16,2
483,14,1,16,3
484,14,1,16,4
485,14,1,16,5
486,14,1,16,6
487,14,1,16,7
488,14,1,16,8
489,14,1,16,9
490,14,1,16,10
491,14,1,16,11
492,14,1,16,12
493,14,1,16,13
494,14,1,16,14
495,14,1,16,15
496,14,1,16,16
497,14,1,16,17
498,14,1,16,18
499,14,1,16,19
